rowid,exercise_name,youtube_video_id,youtube_url,title,channel,duration_seconds,tags_matched,matched_tag,selection_reason
1,3/4 Sit-Up,swOyWKk7Oko,https://www.youtube.com/shorts/swOyWKk7Oko,How to Do：SIT-UPS,Leap Fitness,46,false,,<=60s+positives+channel-quality+weak-title+llm-accept
2,90/90 Hamstring,lMWb7ZQLCjc,https://www.youtube.com/shorts/lMWb7ZQLCjc,90/90 Hamstring Stretch,The Strength Guys,50,false,,title-match+<=60s+positives+llm-accept
3,Ab Crunch Machine,mnRhbUB3Fjs,https://www.youtube.com/shorts/mnRhbUB3Fjs,AB CRUNCH MACHINE 💪🏼 // Strengthen your abs using this classic machine! #absworkout #planetfitness,KevTheTrainer,19,true,ab crunch machine,tag-match+title-match+<=60s+positives+channel-quality+llm-accept
4,Ab Roller,HV7BOjqhbd4,https://www.youtube.com/shorts/HV7BOjqhbd4,How to use abs roller wheels correctly.✅✅💪🏻💪🏻 #gym #workout #sixpack #absworkout #shorts,David Fitness,22,false,,title-match+shorts-signal+<=60s+positives+channel-quality+llm-accept
5,Adductor,fwpMYCWdUNY,https://www.youtube.com/shorts/fwpMYCWdUNY,How to PROPERLY Use The Adductor Machine (STOP THIS),Colossus Fitness,19,false,,title-match+<=60s+positives+negatives+channel-quality+llm-accept
6,Adductor/Groin,In0ePDaDETc,https://www.youtube.com/shorts/In0ePDaDETc,How To Fix Groin Pain (Adductor Strain),Squat University,60,false,,title-match+<=60s+positives+negatives+channel-quality+llm-accept
7,Advanced Kettlebell Windmill,H8fmeaq8ewI,https://www.youtube.com/shorts/H8fmeaq8ewI,Advanced Kettlebell Windmill Exercise,Christopher Edghill,52,true,advanced kettlebell windmill,tag-match+title-match+<=60s+negatives+no-positive-signal+llm-accept
8,Air Bike,KC-ZSfOmXgE,https://www.youtube.com/shorts/KC-ZSfOmXgE,HOW TO USE THE AIRBIKE,Nutrition Warehouse,55,true,airbike,tag-match+title-match+<=60s+positives+llm-accept
9,All Fours Quad Stretch,Wh0pjhUH8-M,https://www.youtube.com/shorts/Wh0pjhUH8-M,Want to achieve a front split? Try these 4 stretches ✨#fitness #pilates #split #flexibility,blogilates,37,false,,<=60s+channel-quality+weak-title+no-positive-signal+llm-accept
10,Alternate Hammer Curl,oSpqtLHhJkA,https://www.youtube.com/shorts/oSpqtLHhJkA,"Alternate Hammer Curl, Tutorial, Exercise Video, Workout, SEXioFIT",SEXioFIT,33,true,alternate hammer curl,tag-match+title-match+<=60s+positives+negatives+llm-accept
11,Alternate Heel Touchers,3MNj7LrRX3U,https://www.youtube.com/shorts/3MNj7LrRX3U,🔥Core Finisher- Heel Touches🔥,DAVID TODD MILLER,21,false,,<=60s+positives+weak-title+llm-accept
12,Alternate Incline Dumbbell Curl,VCw_uIxW8WE,https://www.youtube.com/shorts/VCw_uIxW8WE,STOP Doing This On Bicep Curls!,ATHLEAN-X™,40,false,,<=60s+positives+negatives+channel-quality+weak-title+llm-accept
13,Alternate Leg Diagonal Bound,q9hcAZBlBf4,https://www.youtube.com/shorts/q9hcAZBlBf4,Bounding Forward and Side,Emplify Health by Gundersen,61,false,,<=60s+channel-quality+weak-title+no-positive-signal
14,Alternating Cable Shoulder Press,RoLdoKk-FkM,https://www.youtube.com/shorts/RoLdoKk-FkM,How to - Alternating Cable Shoulder Press,U.S. Forces Fitness,45,false,,title-match+<=60s+positives+negatives+channel-quality+llm-accept
15,Alternating Deltoid Raise,OtoLOqToiaE,https://www.youtube.com/shorts/OtoLOqToiaE,"Alternating Deltoid Raise, Tutorial, Exercise Video, Workout, SEXioFIT",SEXioFIT,40,true,alternating deltoid raise,tag-match+title-match+<=60s+positives+negatives
16,Alternating Floor Press,DJwNDf0XDys,https://www.youtube.com/shorts/DJwNDf0XDys,Dumbbell Alternating Floor Press,Spurling Fitness,8,false,,title-match+<=60s+channel-quality+no-positive-signal+llm-accept
17,Alternating Hang Clean,adzlNWY9peg,https://www.youtube.com/shorts/adzlNWY9peg,Alternating Kettlebell Hang Clean,FORTIS,11,false,,title-match+<=60s+positives+llm-accept
18,Alternating Kettlebell Press,d3j8v2q3d_g,https://www.youtube.com/shorts/d3j8v2q3d_g,#Kettlebell Alternating Overhead Press 🏅 #shorts,Chandler Marchman,14,false,,title-match+shorts-signal+<=60s+positives+negatives+channel-quality+llm-accept
19,Alternating Kettlebell Row,WMKZ6VGe0vI,https://www.youtube.com/shorts/WMKZ6VGe0vI,Kettlebell Alternating Row | San Diego Sports Therapy,Peak Form Health Center,38,true,alternating kettlebell row,tag-match+title-match+<=60s+negatives+channel-quality+no-positive-signal+llm-accept
20,Alternating Renegade Row,87fIdMr0Ojs,https://www.youtube.com/shorts/87fIdMr0Ojs,How To Do Alternating Renegade Row | Exercise Demo,OriGym,42,true,alternating renegade row,tag-match+title-match+<=60s+positives+negatives+channel-quality+llm-accept
21,Ankle Circles,uV0I5adTRXw,https://www.youtube.com/shorts/uV0I5adTRXw,Ankle Circles,MyMichiganHealth,27,true,ankle circles,tag-match+title-match+<=60s+positives+channel-quality
22,Ankle On The Knee,XPiqESxU3UU,https://www.youtube.com/shorts/XPiqESxU3UU,Leg Posture: How to fix your knock knee posture!,Insider Physical Therapy,20,false,,shorts-signal+<=60s+positives+channel-quality+weak-title+llm-accept
23,Anterior Tibialis-SMR,Nie797sMqMg,https://www.youtube.com/shorts/Nie797sMqMg,Foam roller for #shinsplints.,Say No To DARD (Chiropractic),28,false,,<=60s+positives+channel-quality+weak-title+llm-accept
24,Anti-Gravity Press,hutPQxCxy3Q,https://www.youtube.com/shorts/hutPQxCxy3Q,Did Lifting Stunt Her Growth?,Squat University,14,false,,<=60s+channel-quality+weak-title
