id,exercise_name,video_link,video_explanation,expereince_level,target_muscle,primary_muscle,secondary_muscle,category,laterality,exercise_classification,inserted_at,equipment
6485,Stability Ball Dead Bug,https://youtu.be/5jDEulwWs04,https://youtu.be/Sa4ZWmnSC5o,Beginner,Abdominals,Rectus Abdominis,Obliques,Core,Contralateral,Postural,2025-08-10 01:02:43.832216+00,Stability Ball
6486,Bodyweight Glute Bridge,https://youtu.be/ncpMkhXAykg?si=a_b3ot2rsThtz4DE,https://youtu.be/wPM8icPu6H8,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Bodyweight
6487,Bodyweight Bird Dog,https://youtu.be/tU-WZsouVjo?si=Ti1JUU03OqgnmtX6,https://youtu.be/-LRjkbEy-qU,Beginner,Abdominals,Rectus Abdominis,Gluteus Maximus,Core,Contralateral,Postural,2025-08-10 01:02:43.832216+00,Bodyweight
6488,Stability Ball Russian Twist,https://youtu.be/2rbbUJR-Nx4?si=aAPlfM1RYBeErvZk,https://youtu.be/fh-sDpg1P48,Beginner,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball
6489,Stability Ball Feet Elevated Crunch,https://youtu.be/ByXVlY2L3nw,https://youtu.be/meo3bhh8NPk,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball
6490,Ring Hanging Knee Raise,https://youtu.be/RPBH_Dw5hUo?si=SqKs_FnqsPMuLdq0,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings
6491,Parallette Mountain Climber,https://youtu.be/W0RoAqlFzrA,,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Core,Unilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Parallette Bars
6492,Parallette Push Up,https://youtu.be/Kbhl_O1N4aw,https://youtu.be/Jrh9F8L2NJ4,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Parallette Bars
6493,Bodyweight Knee Hover Bird Dog,https://youtu.be/fGaqVUHB1aA,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Core,Contralateral,Postural,2025-08-10 01:02:43.832216+00,Bodyweight
6494,Stability Ball V Up Pass,https://youtu.be/n4UPDi5BuL0,https://youtu.be/Lrmlsxk3zx4,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball
6495,Bodyweight Dead Bug,https://youtu.be/jbWmbhElf3Q,https://youtu.be/g_BYB0R-4Ws,Beginner,Abdominals,Rectus Abdominis,Obliques,Core,Contralateral,Postural,2025-08-10 01:02:43.832216+00,Bodyweight
6496,Bodyweight Alternating Heel Taps,https://youtu.be/URWXz0DmE7s,https://youtu.be/IVppNiu0hvw,Beginner,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight
6497,Bodyweight Flutter Kicks,https://youtu.be/e_s7uBNPnow,https://youtu.be/DNx0PYv7_L8,Beginner,Hip Flexors,Iliopsoas,Rectus Abdominis,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight
6498,Bodyweight Kneeling Forearm Plank,https://youtu.be/Ns1NS9ThNhI,https://youtu.be/5HyOjaj7atU,Beginner,Abdominals,Rectus Abdominis,,Core,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Bodyweight
6499,Bodyweight Seated Ab Circles,https://youtu.be/GflQ_ymx9Nw,,Novice,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Bodyweight
6500,Ring Hanging Oblique Knee Raise,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings
6501,Stability Ball Stir the Pot,https://youtu.be/IfOtFv6zz8I,https://youtu.be/FpH1C25VyXE?si=hAzBuHZIBIX0MG4j,Novice,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball
6502,Bodyweight Alternating Lateral Kick Through,https://youtu.be/1jCudOtlLsc,https://youtu.be/86NNY5U6jqk,Intermediate,Abdominals,Rectus Abdominis,,Core,Unilateral,Animal Flow,2025-08-10 01:02:43.832216+00,Bodyweight
6503,Ring Hanging L Sit Flutter Kicks,https://youtu.be/Y7Ua1YRsqd0,,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Core,Unilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings
6504,Slam Ball Russian Twist,https://youtu.be/qyZ0pAtgo_Y,,Novice,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Slam Ball
6505,Dumbbell Crush Grip Otis Up,,,Novice,Abdominals,Rectus Abdominis,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell
6506,Single Arm Dumbbell Side Plank Reach Through,https://youtu.be/Ec9Ymqhe5i4,,Advanced,Abdominals,Obliques,Rectus Abdominis,Core,Unilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Dumbbell
6507,Ab Wheel Kneeling Rollout,https://youtu.be/QB2Gj1QGfjQ,https://youtu.be/A3uK5TPzHq8,Novice,Abdominals,Rectus Abdominis,Latissimus Dorsi,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Ab Wheel
6508,Cable Seated Crunch,https://youtu.be/gQT76pz_X9Y,https://youtu.be/vg1KU7HNbyw,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Cable
6509,Cable Kneeling Crunch,https://youtu.be/ToJeyhydUxU,https://youtu.be/vsAPBAg0fb0,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Cable
6510,Medicine Ball V Up,https://youtu.be/E0WFCTnN728?si=YvTVZvOCRm_hjh2B,https://youtu.be/7MY2agzydDw,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Medicine Ball
6511,Suspension Knee Tuck,https://youtu.be/z2tctrNfTrY,https://youtu.be/EXIJ4dILenc,Novice,Abdominals,Rectus Abdominis,,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Suspension Trainer
