id,exercise_name,video_link,video_explanation,expereince_level,target_muscle,primary_muscle,secondary_muscle,category,laterality,exercise_classification,inserted_at,equipment,standardized_name,standardized_primary_muscle,standardized_secondary_muscle,standardization_notes
6485,Stability Ball Dead Bug,https://youtu.be/5jDEulwWs04,https://youtu.be/Sa4ZWmnSC5o,Beginner,Abdominals,Rectus Abdominis,Obliques,Core,Contralateral,Postural,2025-08-10 01:02:43.832216+00,Stability Ball,Stability Ball Dead Bug,Abs,Obliques,Core stabilization exercise with limb movement
6486,Bodyweight Glute Bridge,https://youtu.be/ncpMkhXAykg?si=a_b3ot2rsThtz4DE,https://youtu.be/wPM8icPu6H8,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Lower Body,Bilateral,Bodybuilding,2025-08-10 01:02:43.832216+00,Bodyweight,Glute Bridge,Glutes,Hamstrings,Hip extension exercise targeting glutes
6487,Bodyweight Bird Dog,https://youtu.be/tU-WZsouVjo?si=Ti1JUU03OqgnmtX6,https://youtu.be/-LRjkbEy-qU,Beginner,Abdominals,Rectus Abdominis,Gluteus Maximus,Core,Contralateral,Postural,2025-08-10 01:02:43.832216+00,Bodyweight,Bird Dog,Abs,Glutes,Core stability exercise with contralateral limb raise
6488,Stability Ball Russian Twist,https://youtu.be/2rbbUJR-Nx4?si=aAPlfM1RYBeErvZk,https://youtu.be/fh-sDpg1P48,Beginner,Abdominals,Obliques,Rectus Abdominis,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball,Russian Twist on Stability Ball,Obliques,Abs,Rotational core exercise on unstable surface
6489,Stability Ball Feet Elevated Crunch,https://youtu.be/ByXVlY2L3nw,https://youtu.be/meo3bhh8NPk,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball,Feet-Elevated Crunch on Stability Ball,Abs,Hip Flexors,Crunch variation with feet on ball
6490,Ring Hanging Knee Raise,https://youtu.be/RPBH_Dw5hUo?si=SqKs_FnqsPMuLdq0,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Gymnastic Rings,Hanging Knee Raise,Abs,Hip Flexors,Core exercise using gymnastic rings for suspension
6491,Parallette Mountain Climber,https://youtu.be/W0RoAqlFzrA,,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Core,Unilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Parallette Bars,Mountain Climber on Parallettes,Abs,Hip Flexors,Dynamic core exercise with elevated hands
6492,Parallette Push Up,https://youtu.be/Kbhl_O1N4aw,https://youtu.be/Jrh9F8L2NJ4,Novice,Chest,Pectoralis Major,Triceps Brachii,Upper Body,Bilateral,Calisthenics,2025-08-10 01:02:43.832216+00,Parallette Bars,Push-Up on Parallettes,Chest,Triceps,Increased range of motion push-up using parallettes
6493,Bodyweight Knee Hover Bird Dog,https://youtu.be/fGaqVUHB1aA,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Core,Contralateral,Postural,2025-08-10 01:02:43.832216+00,Bodyweight,Bird Dog with Knee Hover,Abs,Glutes,Modified bird dog emphasizing core control
6494,Stability Ball V Up Pass,https://youtu.be/n4UPDi5BuL0,https://youtu.be/Lrmlsxk3zx4,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Core,Bilateral,Unsorted*,2025-08-10 01:02:43.832216+00,Stability Ball,Stability Ball V-Up,Abs,Hip Flexors,Full range sit-up motion on stability ball
