exercise_name,video_link,video_explanation,expereince_level,target_muscle,primary_muscle,secondary_muscle,equipment ,Category,Laterality,Primary Exercise Classification
Stability Ball Dead Bug,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Obliques,Stability Ball,Core,Contralateral,Postural
Bodyweight Glute Bridge,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Bodyweight,Lower Body,Bilateral,Bodybuilding
Bodyweight Bird Dog,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Gluteus Maximus,Bodyweight,Core,Contralateral,Postural
Stability Ball Russian Twist ,Video Demonstration,Video Explanation,Beginner,Abdominals,Obliques,Rectus Abdominis,Stability Ball,Core,Bilateral,Unsorted*
Stability Ball Feet Elevated Crunch ,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Stability Ball,Core,Bilateral,Unsorted*
Ring Hanging Knee Raise ,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Gymnastic Rings,Core,Bilateral,Calisthenics
Parallette Mountain Climber,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Parallette Bars,Core,Unilateral,Calisthenics
Parallette Push Up,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,Triceps Brachii,Parallette Bars,Upper Body,Bilateral,Calisthenics
Bodyweight Knee Hover Bird Dog,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Bodyweight,Core,Contralateral,Postural
Stability Ball V Up Pass,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Stability Ball,Core,Bilateral,Unsorted*
Bodyweight Dead Bug,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Obliques,Bodyweight,Core,Contralateral,Postural
Bodyweight Alternating Heel Taps,Video Demonstration,Video Explanation,Beginner,Abdominals,Obliques,Rectus Abdominis,Bodyweight,Core,Unilateral,Unsorted*
Bodyweight Flutter Kicks,Video Demonstration,Video Explanation,Beginner,Hip Flexors,Iliopsoas,Rectus Abdominis,Bodyweight,Core,Unilateral,Unsorted*
Bodyweight Kneeling Forearm Plank,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,Bodyweight,Core,Bilateral,Calisthenics
Bodyweight Seated Ab Circles,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,Bodyweight,Core,Bilateral,Unsorted*
Ring Hanging Oblique Knee Raise,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Gymnastic Rings,Core,Bilateral,Calisthenics
Stability Ball Stir the Pot,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Stability Ball,Core,Bilateral,Unsorted*
Bodyweight Alternating Lateral Kick Through,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,Bodyweight,Core,Unilateral,Animal Flow
Ring Hanging L Sit Flutter Kicks ,Video Demonstration,,Intermediate,Hip Flexors,Iliopsoas,Rectus Abdominis,Gymnastic Rings,Core,Unilateral,Calisthenics
Slam Ball Russian Twist,Video Demonstration,,Novice,Abdominals,Obliques,Rectus Abdominis,Slam Ball,Core,Bilateral,Unsorted*
Dumbbell Crush Grip Otis Up,,,Novice,Abdominals,Rectus Abdominis,Rectus Abdominis,Dumbbell,Core,Bilateral,Unsorted*
Single Arm Dumbbell Side Plank Reach Through ,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis,Dumbbell,Core,Unilateral,Unsorted*
Ab Wheel Kneeling Rollout,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Latissimus Dorsi,Ab Wheel,Core,Bilateral,Unsorted*
Cable Seated Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Cable,Core,Bilateral,Unsorted*
Cable Kneeling Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Cable,Core,Bilateral,Unsorted*
Medicine Ball V Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Medicine Ball,Core,Bilateral,Unsorted*
Suspension Knee Tuck,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Suspension Trainer,Core,Bilateral,Unsorted*
Suspension Lateral Knee Tuck,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,Suspension Trainer,Core,Bilateral,Unsorted*
Suspension Archer Row ,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,,Suspension Trainer,Upper Body,Unilateral,Unsorted*
Single Arm Dumbbell Turkish Get Up,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Dumbbell,Full Body,Unilateral,Grinds
Bodyweight Bear Crawl,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Bodyweight,Core,Contralateral,Animal Flow
Stability Ball Knee Tuck,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Stability Ball,Core,Bilateral,Unsorted*
Ring Hanging Leg Raise ,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Gymnastic Rings,Core,Bilateral,Calisthenics
Parallette L Sit,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Parallette Bars,Core,Bilateral,Calisthenics
Bodyweight Standing Walkout Plank,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,Bodyweight,Core,Bilateral,Calisthenics
Ring Eccentric Pull Up,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Barbell Climb,,Video Explanation,Expert,Abdominals,Rectus Abdominis,,Barbell,Core,Unilateral,Calisthenics
Bodyweight Ipsilateral Bird Dog,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,Gluteus Maximus,Bodyweight,Core,Ipsilateral,Unsorted*
Bodyweight Copenhagen Plank Knee to Elbow,,Video Explanation,Advanced,Adductors,Adductor Magnus,,Bodyweight,Lower Body,Unilateral,Unsorted*
Ring Eccentric Chin Up,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Latissimus Dorsi,Gymnastic Rings,Upper Body,Bilateral,Calisthenics
Single Arm Dumbbell Seated Shoulder External Rotation,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Dumbbell,Upper Body,Unilateral,Unsorted*
Double Dumbbell Seated Cuban Rotation,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Dumbbell,Upper Body,Bilateral,Unsorted*
Double Dumbbell Cuban Rotation,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Dumbbell,Upper Body,Bilateral,Unsorted*
Single Arm Cable Half Kneeling Contralateral Shoulder External Rotation 90 Degrees,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,Infraspinatus,Cable,Upper Body,Unilateral,Unsorted*
Miniband Fire Hydrant,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Miniband,Lower Body,Unilateral,Bodybuilding
Medicine Ball Russian Twist,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,Medicine Ball,Core,Bilateral,Unsorted*
Bodyweight Side Plank,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,Bodyweight,Core,Unilateral,Calisthenics
Cable Reverse Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Cable,Core,Bilateral,Unsorted*
Cable Rope Half Kneeling High to Low Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Cable,Core,Bilateral,Unsorted*
Cable Rope Half Kneeling Low to High Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Cable,Core,Bilateral,Unsorted*
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Unilateral,Bodybuilding
Cable Rope Staggered Stance High to Low Chop ,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Cable,Core,Bilateral,Unsorted*
Cable Rope Staggered Stance Low to High Chop,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Cable,Core,Bilateral,Unsorted*
Single Arm Dumbbell Windmill,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Dumbbell,Core,Unilateral,Unsorted*
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Unilateral,Bodybuilding
Slider Double Kettlebell Front Rack Lateral Lunge,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Unilateral,Bodybuilding
Bodyweight Feet On Wall Mountain Climber ,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Iliopsoas,Bodyweight,Core,Unilateral,Calisthenics
Slider Double Kettlebell Suitcase Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Unilateral,Bodybuilding
Bodyweight Hollow Body Hold,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Bodyweight,Core,Bilateral,Unsorted*
Dumbbell Crush Grip Hollow Body Hold,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,Dumbbell,Core,Bilateral,Unsorted*
Bar Inverted Hanging Crunch,Video Demonstration,Video Explanation,Expert,Abdominals,Rectus Abdominis,Iliopsoas,Pull Up Bar,Core,Bilateral,Unsorted*
Bodyweight Inverted Hanging Oblique Crunch,,,Expert,Abdominals,Obliques,Rectus Abdominis,Bodyweight,Core,Bilateral,Unsorted*
Slider Double Kettlebell Front Rack Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Unilateral,Bodybuilding
Bodyweight Supine Alternating Single Leg Raise,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Bodyweight,Core,Unilateral,Unsorted*
Bodyweight Supine Leg Raise,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Bodyweight,Core,Bilateral,Unsorted*
Miniband Bicycle Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,Miniband,Core,Unilateral,Unsorted*
Bodyweight Side Plank Reach Through,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,Bodyweight,Core,Unilateral,Calisthenics
Bodyweight Sit Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Bodyweight,Core,Bilateral,Unsorted*
Bodyweight Butterfly Sit Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Bodyweight,Core,Bilateral,Unsorted*
Slider Mountain Climber,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Sliders,Core,Unilateral,Unsorted*
Slider Pike ,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Sliders,Core,Bilateral,Unsorted*
Stability Ball Pike,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Stability Ball,Core,Bilateral,Unsorted*
Slider Wide Mountain Climber,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Sliders,Core,Unilateral,Unsorted*
Stability Ball Crunch,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Stability Ball,Core,Bilateral,Unsorted*
Stability Ball Feet Elevated Oblique Crunch,Video Demonstration,,Beginner,Abdominals,Obliques,Rectus Abdominis,Stability Ball,Core,Bilateral,Unsorted*
Stability Ball Kneeling Rollout,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Latissimus Dorsi,Stability Ball,Core,Bilateral,Unsorted*
Stability Ball Single Leg Knee Tuck,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,Stability Ball,Core,Unilateral,Unsorted*
Stability Ball Single Leg Pike,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,Stability Ball,Core,Unilateral,Unsorted*
Double Dumbbell Z Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Dumbbell,Upper Body,Bilateral,Bodybuilding
Slider Double Kettlebell Overhead Reverse Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Sliders,Lower Body,Unilateral,Bodybuilding
Double Dumbbell Romanian Deadlift,Video Demonstration,Video Explanation,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Dumbbell,Lower Body,Bilateral,Bodybuilding
Single Arm Dumbbell Side Plank,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Dumbbell,Core,Unilateral,Unsorted*
Bodyweight Single Leg Glute Bridge,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Bodyweight,Lower Body,Unilateral,Bodybuilding
Dumbbell Glute Bridge,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Dumbbell,Lower Body,Bilateral,Bodybuilding
Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Bodyweight,Lower Body,Unilateral,Bodybuilding
